_id,busy
5fc8b769a0750f5831d01241,false
5fc8b76fa0750f5831d0124a,false
5fc8b776a0750f5831d01250,false
5fc8b77ca0750f5831d01256,true
5fc8b782a0750f5831d0125c,false
5fc8b788a0750f5831d01262,false
5fc8b78ea0750f5831d01268,false
5fc8b794a0750f5831d0126e,false
5fc8b79aa0750f5831d01274,true
5fc8b7a0a0750f5831d0127a,false
5fc8b7a6a0750f5831d01280,false
5fc8b7aca0750f5831d01286,false
5fc8b7b2a0750f5831d0128c,true
5fc8b7b9a0750f5831d01292,false
5fc8b7bfa0750f5831d01298,false
5fc8b7c5a0750f5831d0129e,false
5fc8b7cba0750f5831d012a4,false
5fc8b7d1a0750f5831d012aa,true
5fc8b7d7a0750f5831d012b0,false
5fc8b7dda0750f5831d012b6,false
5fc8b9ca5f3dd6a3972cb4f7,false
5fc8b9d05f3dd6a3972cb4fd,false
5fc8b9d65f3dd6a3972cb503,false
5fc8b9dc5f3dd6a3972cb509,true
5fc8b9e25f3dd6a3972cb50f,false
5fc8b9e85f3dd6a3972cb515,false
5fc8b9ee5f3dd6a3972cb51b,false
5fc8b9f45f3dd6a3972cb521,false
5fc8b9fa5f3dd6a3972cb527,true
5fc8ba005f3dd6a3972cb52d,false
5fc8ba075f3dd6a3972cb533,false
5fc8ba0d5f3dd6a3972cb539,false
5fc8ba135f3dd6a3972cb53f,false
5fc8ba195f3dd6a3972cb545,true
5fc8ba1f5f3dd6a3972cb54b,false
5fc8ba255f3dd6a3972cb551,false
5fc8ba2b5f3dd6a3972cb557,false
5fc8ba315f3dd6a3972cb55d,false
5fc8ba375f3dd6a3972cb563,true
5fc8ba3d5f3dd6a3972cb569,false
5fc8bd2314c0be7134502237,false
5fc8bd2a14c0be713450223d,false
5fc8bd3014c0be7134502243,false
5fc8bd3614c0be7134502249,true
5fc8bd3c14c0be713450224f,false
5fc8bd4214c0be7134502255,false
5fc8bd4814c0be713450225b,false
5fc8bd4e14c0be7134502261,false
5fc8bd5414c0be7134502267,true
5fc8bd5a14c0be713450226d,false
5fc8bd6014c0be7134502273,false
5fc8bd6614c0be7134502279,false
5fc8bd6d14c0be713450227f,false
5fc8bd7314c0be7134502285,true
5fc8bd7914c0be713450228b,false
5fc8bd7f14c0be7134502291,false
5fc8bd8514c0be7134502297,false
5fc8bd8b14c0be713450229d,false
5fc8bd9114c0be71345022a3,true
5fc8bd9714c0be71345022a9,false
5fc8c0889d3f151cdd1274b6,false
5fc8c08e9d3f151cdd1274bc,false
5fc8c0949d3f151cdd1274c2,false
5fc8c09a9d3f151cdd1274c8,true
5fc8c0a09d3f151cdd1274ce,false
5fc8c0a69d3f151cdd1274d4,false
5fc8c0ac9d3f151cdd1274da,false
5fc8c0b29d3f151cdd1274e0,false
5fc8c0b99d3f151cdd1274e6,true
5fc8c0bf9d3f151cdd1274ec,false
5fc8c0c59d3f151cdd1274f2,false
5fc8c0cb9d3f151cdd1274f8,false
5fc8c0d19d3f151cdd1274fe,false
5fc8c0d79d3f151cdd127504,true
5fc8c0dd9d3f151cdd12750a,false
5fc8c0e39d3f151cdd127510,false
5fc8c0e99d3f151cdd127516,false
5fc8c0ef9d3f151cdd12751c,false
5fc8c0f69d3f151cdd127522,true
5fc8c0fc9d3f151cdd127528,false
5fc8c4026e7c1a911277ffae,false
5fc8c4086e7c1a911277ffb4,false
5fc8c40e6e7c1a911277ffba,false
5fc8c4146e7c1a911277ffc0,true
5fc8c41a6e7c1a911277ffc6,false
5fc8c4206e7c1a911277ffcc,false
5fc8c4266e7c1a911277ffd2,false
5fc8c42c6e7c1a911277ffd8,false
5fc8c4326e7c1a911277ffde,true
5fc8c4396e7c1a911277ffe4,false
5fc8c43f6e7c1a911277ffea,false
5fc8c4456e7c1a911277fff0,false
5fc8c44b6e7c1a911277fff6,false
5fc8c4516e7c1a911277fffc,true
5fc8c4576e7c1a9112780002,false
5fc8c45d6e7c1a9112780008,false
5fc8c4636e7c1a911278000e,false
5fc8c4696e7c1a9112780014,false
5fc8c46f6e7c1a911278001a,true
5fc8c4756e7c1a9112780020,false
