_id,busy
5fc8b76ca0750f5831d01247,true
5fc8b772a0750f5831d0124d,true
5fc8b779a0750f5831d01253,true
5fc8b77fa0750f5831d01259,false
5fc8b785a0750f5831d0125f,false
5fc8b78ba0750f5831d01265,false
5fc8b791a0750f5831d0126b,false
5fc8b797a0750f5831d01271,false
5fc8b79da0750f5831d01277,true
5fc8b7a3a0750f5831d0127d,false
5fc8b7a9a0750f5831d01283,true
5fc8b7afa0750f5831d01289,true
5fc8b7b5a0750f5831d0128f,false
5fc8b7bca0750f5831d01295,true
5fc8b7c2a0750f5831d0129b,true
5fc8b7c8a0750f5831d012a1,true
5fc8b7cea0750f5831d012a7,false
5fc8b7d4a0750f5831d012ad,false
5fc8b7daa0750f5831d012b3,true
5fc8b7e0a0750f5831d012b9,false
5fc8b9cd5f3dd6a3972cb4fa,false
5fc8b9d35f3dd6a3972cb500,true
5fc8b9d95f3dd6a3972cb506,false
5fc8b9df5f3dd6a3972cb50c,false
5fc8b9e55f3dd6a3972cb512,true
5fc8b9eb5f3dd6a3972cb518,false
5fc8b9f15f3dd6a3972cb51e,true
5fc8b9f75f3dd6a3972cb524,false
5fc8b9fd5f3dd6a3972cb52a,true
5fc8ba045f3dd6a3972cb530,false
5fc8ba0a5f3dd6a3972cb536,true
5fc8ba105f3dd6a3972cb53c,false
5fc8ba165f3dd6a3972cb542,true
5fc8ba1c5f3dd6a3972cb548,false
5fc8ba225f3dd6a3972cb54e,false
5fc8ba285f3dd6a3972cb554,true
5fc8ba2e5f3dd6a3972cb55a,false
5fc8ba345f3dd6a3972cb560,false
5fc8ba3a5f3dd6a3972cb566,true
5fc8ba405f3dd6a3972cb56c,false
5fc8bd2714c0be713450223a,false
5fc8bd2d14c0be7134502240,true
5fc8bd3314c0be7134502246,false
5fc8bd3914c0be713450224c,false
5fc8bd3f14c0be7134502252,false
5fc8bd4514c0be7134502258,true
5fc8bd4b14c0be713450225e,false
5fc8bd5114c0be7134502264,true
5fc8bd5714c0be713450226a,false
5fc8bd5d14c0be7134502270,false
5fc8bd6314c0be7134502276,true
5fc8bd6a14c0be713450227c,true
5fc8bd7014c0be7134502282,false
5fc8bd7614c0be7134502288,false
5fc8bd7c14c0be713450228e,false
5fc8bd8214c0be7134502294,false
5fc8bd8814c0be713450229a,true
5fc8bd8e14c0be71345022a0,true
5fc8bd9414c0be71345022a6,false
5fc8bd9a14c0be71345022ac,false
5fc8c08b9d3f151cdd1274b9,true
5fc8c0919d3f151cdd1274bf,false
5fc8c0979d3f151cdd1274c5,false
5fc8c09d9d3f151cdd1274cb,false
5fc8c0a39d3f151cdd1274d1,false
5fc8c0a99d3f151cdd1274d7,false
5fc8c0af9d3f151cdd1274dd,true
5fc8c0b69d3f151cdd1274e3,false
5fc8c0bc9d3f151cdd1274e9,true
5fc8c0c29d3f151cdd1274ef,true
5fc8c0c89d3f151cdd1274f5,false
5fc8c0ce9d3f151cdd1274fb,false
5fc8c0d49d3f151cdd127501,true
5fc8c0da9d3f151cdd127507,true
5fc8c0e09d3f151cdd12750d,false
5fc8c0e69d3f151cdd127513,false
5fc8c0ec9d3f151cdd127519,true
5fc8c0f39d3f151cdd12751f,false
5fc8c0f99d3f151cdd127525,false
5fc8c0ff9d3f151cdd12752b,false
5fc8c4056e7c1a911277ffb1,false
5fc8c40b6e7c1a911277ffb7,false
5fc8c4116e7c1a911277ffbd,false
5fc8c4176e7c1a911277ffc3,true
5fc8c41d6e7c1a911277ffc9,true
5fc8c4236e7c1a911277ffcf,false
5fc8c4296e7c1a911277ffd5,true
5fc8c42f6e7c1a911277ffdb,true
5fc8c4356e7c1a911277ffe1,false
5fc8c43c6e7c1a911277ffe7,true
5fc8c4426e7c1a911277ffed,true
5fc8c4486e7c1a911277fff3,true
5fc8c44e6e7c1a911277fff9,false
5fc8c4546e7c1a911277ffff,false
5fc8c45a6e7c1a9112780005,true
5fc8c4606e7c1a911278000b,false
5fc8c4666e7c1a9112780011,true
5fc8c46c6e7c1a9112780017,true
5fc8c4726e7c1a911278001d,false
5fc8c4786e7c1a9112780023,false
